id,unig_feature,12sl_feature,ecgdeli_feature,description,Loinc_concept_ids,unit,comment,consistent_units_unig,consistent_units_12sl
ST_Amp28_X,ILM_STT28_Amp_X,,,2/8 ST-T amplitude in lead X,,mV,,0.001,0.001
ST_Amp38_X,ILM_STT38_Amp_X,,,3/8 ST-T amplitude in lead X,,mV,,0.001,0.001
ST_AmpAdj_X,ILM_ST_AMPAdj_X,,,ST adjusted amplitude in lead X,,mV,,0.001,0.001
ST_Dur_X,ILM_ST_Dur_X,,,ST duration in lead X,,ms,,1,1
T+_Dur_X,ILM_T+_Dur_X,$ T_Dur_X if T_Amp_X>0 else Tp_Dur_X,,T+ duration in lead X,,ms,,1,1
T-_Dur_X,$ T_Dur_X-T+_Dur_X,$ Tp_Dur_X if T_Amp_X>0 else T_Dur_X,,T- duration in lead X,,ms,,1,1
T+_Amp_X,ILM_T+_Amp_X,$ T_Amp_X if T_Amp_X>0 else Tp_Amp_X,,T+ amplitude in lead X,,mV,,0.001,0.001
T-_Amp_X,ILM_T-_Amp_X,$ T_Amp_X if T_Amp_X<0 else Tp_Amp_X,,T- amplitude in lead X,,mV,,0.001,0.001
T_Area_X,ILM_T_Area_X,T_Area_X,,T area in lead X,,mV*ms,,0.002,0.001
T_Morph_X,ILM_T_Morph_X,$ (1 if T_Amp_X>0 else -1) if Tp_Amp_X==0 else (2 if T_Amp_X>0 else -2),,T morphology in lead X,,integer,,1,1
T_On_X,ILM_T_Ons_X,,,T onset in lead X,,ms,,1,1
LVH_Strain_Global,Int_LV_Strain,,,LVH strain pattern,,integer,,1,1
P_Term_V1,Int_P_Terminal_(V1),$ P-_Dur_V1*P-_Amp_V1 if P_Morph_V1==2 else 0,,P terminal force (product of P- amplitude and P- duration in V1),,mV*ms,,0.001,0.001
QT_IntCorr_Global,Int_QT_Corrected_(used),QTCCalculation,,Q-T interval corrected,3026258,ms,,1,1
QT_Disp_Global,Int_QT_Dispersion,,,QT dispersion,,ms,,1,1
ST_Dur_Global,Int_ST_Duration,,,ST duration,,ms,,1,1
T_Dur_Global,OnOff_T_Duration,,TWd_max,T duration,,ms,,1,1
QT_IntBazett_Global,QTc_Bazett,QTc_Bazett,,Q-T interval corrected based on Bazett formula,46235174,ms,,1,1
QT_IntFramingham_Global,QTc_Framingham,QTcFramingham,QTci_max,Q-T interval corrected based on Framingham formula,,ms,,1,1
QT_IntFridericia_Global,QTc_Fridericia,QTcFredericia,,Q-T interval corrected based on Fridericia formula,46235173,ms,,1,1
QT_IntHodge_Global,QTc_Hodge,,,Q-T interval corrected based on Hodge formula,,ms,,1,1
VM_AngFront_MaxQRS,VM_Angles_(F)_QRS(12L),,,angle between the projection of the spatial vector at the specified point (Max QRS 12 lead) onto the frontal plane and the positive direction of the X axis,,degrees,,1,1
VM_AngFront_MaxT,VM_Angles_(F)_T(12L),,,angle between the projection of the spatial vector at the specified point (Max T 12 lead) onto the frontal plane and the positive direction of the X axis,,degrees,,1,1
VM_LenFront_MaxQRS,VM_Lengths(F)_QRS(12L),,,length of the projection of the spatial vector at the specified point (Max QRS 12 lead) onto the frontal plane,,mV,,0.001,1
VM_LenFront_MaxT,VM_Lengths(F)_T(12L),,,length of the projection of the spatial vector at the specified point (Max T 12 lead) onto the frontal plane,,mV,,0.001,1
VM_AngRSag_MaxQRS,VM_Angles_(RS)_QRS(12L),,,angle between the projection of the spatial vector at the specified point (Max QRS 12 lead) onto the right sagittal plane and the positive direction of the Z axis,,degrees,,1,1
VM_AngRSag_MaxT,VM_Angles_(RS)_T(12L),,,angle between the projection of the spatial vector at the specified point (Max T 12 lead) onto the right sagittal plane and the positive direction of the Z axis,,degrees,,1,1
VM_LenRSag_MaxQRS,VM_Lengths(RS)_QRS(12L),,,length of the projection of the spatial vector at the specified point (Max QRS 12 lead) onto the right sagittal plane,,mV,,0.001,1
VM_LenRSag_MaxT,VM_Lengths(RS)_T(12L),,,length of the projection of the spatial vector at the specified point (Max T 12 lead) onto the right sagittal plane,,mV,,0.001,1
VM_AngTrans_MaxQRS,VM_Angles_(T)_QRS(12L),,,angle between the projection of the spatial vector at the specified point (Max QRS 12 lead) onto the transverse plane and the positive direction of the X axis,,degrees,,1,1
VM_AngTrans_MaxT,VM_Angles_(T)_T(12L),,,angle between the projection of the spatial vector at the specified point (Max T 12 lead) onto the transverse plane and the positive direction of the X axis,,degrees,,1,1
VM_LenTrans_MaxQRS,VM_Lengths(T)_QRS(12L),,,length of the projection of the spatial vector at the specified point (Max QRS 12 lead) onto the transversal plane,,mV,,0.001,1
VM_LenTrans_MaxT,VM_Lengths(T)_T(12L),,,length of the projection of the spatial vector at the specified point (Max T 12 lead) onto the transversal plane,,mV,,0.001,1
VM_Mag_MaxQRS,VM_Magnitude_QRS(12L),,,magnitude of the spatial vector at the point specified (Max QRS 12 lead),,mV,,0.001,1
VM_Mag_MaxT,VM_Magnitude_T(12L),,,magnitude of the spatial vector at the point specified (Max T 12 lead),,mV,,0.001,1
VM_Pos_MaxQRS,VM_Position_QRS(12L),,,"position of specified point (Max QRS 12 lead), located relative to start of modal beat array",,ms,,1,1
VM_Pos_MaxT,VM_Position_T(12L),,,"position of specified point (Max T 12 lead), located relative to start of modal beat array",,ms,,1,1
VM_Vel_18QRS,VM_Spatial_Velocity_1/8_QRS(12L),,,amplitude of the spatial velocity vector (0/8 is the onset and 8/8 the termination of the QRS complex),,mV/ms,,0.001,1
VM_Vel_28QRS,VM_Spatial_Velocity_2/8_QRS(12L),,,amplitude of the spatial velocity vector (0/8 is the onset and 8/8 the termination of the QRS complex),,mV/ms,,0.001,1
VM_Vel_38QRS,VM_Spatial_Velocity_3/8_QRS(12L),,,amplitude of the spatial velocity vector (0/8 is the onset and 8/8 the termination of the QRS complex),,mV/ms,,0.001,1
VM_Vel_48QRS,VM_Spatial_Velocity_4/8_QRS(12L),,,amplitude of the spatial velocity vector (0/8 is the onset and 8/8 the termination of the QRS complex),,mV/ms,,0.001,1
VM_Vel_58QRS,VM_Spatial_Velocity_5/8_QRS(12L),,,amplitude of the spatial velocity vector (0/8 is the onset and 8/8 the termination of the QRS complex),,mV/ms,,0.001,1
VM_Vel_68QRS,VM_Spatial_Velocity_6/8_QRS(12L),,,amplitude of the spatial velocity vector (0/8 is the onset and 8/8 the termination of the QRS complex),,mV/ms,,0.001,1
VM_Vel_78QRS,VM_Spatial_Velocity_7/8_QRS(12L),,,amplitude of the spatial velocity vector (0/8 is the onset and 8/8 the termination of the QRS complex),,mV/ms,,0.001,1
VM_Vel_+10msQRS,VM_Spatial_Velocity_+10ms_QRS(12L),,,amplitude of the spatial velocity vector at the specified instant of time,,mV/ms,,0.001,1
VM_Vel_+20msQRS,VM_Spatial_Velocity_+20ms_QRS(12L),,,amplitude of the spatial velocity vector at the specified instant of time,,mV/ms,,0.001,1
VM_Vel_+30msQRS,VM_Spatial_Velocity_+30ms_QRS(12L),,,amplitude of the spatial velocity vector at the specified instant of time,,mV/ms,,0.001,1
VM_Vel_-10msQRS,VM_Spatial_Velocity_-10ms_QRS(12L),,,amplitude of the spatial velocity vector at the specified instant of time,,mV/ms,,0.001,1
VM_Vel_-20msQRS,VM_Spatial_Velocity_-20ms_QRS(12L),,,amplitude of the spatial velocity vector at the specified instant of time,,mV/ms,,0.001,1
VM_Vel_-30msQRS,VM_Spatial_Velocity_-30ms_QRS(12L),,,amplitude of the spatial velocity vector at the specified instant of time,,mV/ms,,0.001,1
VM_Vel_MaxQRS,VM_Spatial_Velocity_Max_QRS(12L),,,Max QRS spatial velocity(12 lead),,mV/ms,,0.001,1
VM_Vel_MaxT,VM_Spatial_Velocity_Max_T(12L),,,Max T spatial velocity(12 lead),,mV/ms,,0.001,1
VM_Ang_QRS-T,VM_Spatial_Angle_QRS-T(12L),,,QRS-T spatial angle,,degrees,,1,1
PR_Int_X,,,PRi_X,P-R Interval in lead X,"3024603, 3010581, 3011118, 3018956, 3022239, 3023501, 3023790, 3011157, 3012006, 3027589, 3024066, 3028427",ms,,1,1
Pp_Dur_X,$ P_DurFull_X - P+_Dur_X if P_Morph_X > 0 else P_DurFull_X - P-_Dur_X ,PP_Duration_X,,P' duration in lead X,,ms,,1,1
R_AxisFrontal_Global,,RAxis,,R wave axis frontal plane,,degrees,,1,1
Tp_Amp_X,$ T-_Amp_X if T_Morph_X>0 else T+_Amp_X,TP_PeakAmpl_X,,T' wave amplitude in lead X,"3016315, 3008291, 3007252, 3006151, 3026773, 3027921, 3028763, 3004048, 3006851, 3008969, 3016094, 3015565",mV,,1,1
P_OnsAmp_X,,P_OnsetAmpl_X,,P wave onset amplitude in lead X,,mV,,1,1
P_PeakTime_X,,P_PeakTime_X,,P wave peak time in lead X,,ms,,1,1
Pp_Area_X,,PP_Area_X,,P' area in lead X,,mV*ms,,1,0.001
Pp_PeakTime_X,,PP_PeakTime_X,,P' peak time in lead X,,ms,,1,1
Q_Area_X,,Q_Area_X,,Q area in lead X,,mV*ms,,1,0.001
Q_PeakTime_X,,Q_PeakTime_X,,Q peak time in lead X,,ms,,1,1
R_Area_X,,R_Area_X,,R area in lead X,,mV*ms,,1,0.001
R_PeakTime_X,,R_PeakTime_X,,R peak time in lead X,,ms,,1,1
S_Area_X,,S_Area_X,,S area in lead X,,mV*ms,,1,0.001
S_PeakTime_X,,S_PeakTime_X,,S peak time in lead X,,ms,,1,1
Rp_Area_X,,RP_Area_X,,R' area in lead X,,mV*ms,,1,0.001
Rp_PeakTime_X,,RP_PeakTime_X,,R' peak time in lead X,,ms,,1,1
Sp_Area_X,,SP_Area_X,,S' area in lead X,,mV*ms,,1,0.001
Sp_PeakTime_X,,SP_PeakTime_X,,S' peak time in lead X,,ms,,1,1
ST_Amp116_X,,STM_X,,ST level at the QRS offset plus 1/16 of the average RR interval,,mV,,1,1
ST_Amp18_X,,STE_X,,ST level at the QRS offset plus 1/8 of the average RR interval,,mV,,1,1
ST_AmpMax_X,,MaxST_X,,"maximum of STJ_X, STM_X and STE_X",,mV,,1,1
ST_AmpMin_X,,MinST_X,,"minimum of STJ_X, STM_X and STE_X",,mV,,1,1
T_AmpSpecial_X,,T_Special_X,,minimum of either T amplitude or (T amplitude -STE_X),,mV,,1,1
QRS_Balance_X,,QRS_Balance_X,,maximum R amplitude - maximum S amplitude,,mV,,1,1
Max_R_Amp_X,,Max_R_Ampl_X,,maximum of the R or R’,,mV,,1,1
Max_S_Amp_X,,Max_S_Ampl_X,,"maximum of the Q, S, or S’",,mV,,1,1
T_DurFull_X,ILM_T_Dur_X,$ T_Dur_X + Tp_Dur_X,TWd_X,Sum of T and T' duration in lead X,,ms,,1,1
T_Dur_X,$ T_DurFull_X - T-_Dur_X if T_Morph_X>0 else T_DurFull_X - T+_Dur_X,T_Duration_X,,T duration in lead X,,ms,,1,1
T_PeakTime_X,,T_PeakTime_X,,T peak time in lead X,,ms,,1,1
Tp_Dur_X,$ T_DurFull_X - T+_Dur_X if T_Morph_X > 0 else T_DurFull_X - T-_Dur_X ,TP_Duration_X,,T' duration in lead X,,ms,,1,1
Tp_Area_X,,TP_Area_X,,T' area in lead X,,mV*ms,,1,0.001
Tp_PeakTime_X,,TP_PeakTime_X,,T' peak time in lead X,,ms,,1,1
T_Off_X,,T_End_X,,T offset in lead X,,ms,,1,1
P_AreaFull_X,,PFull_Area_X,,Sum of  P and P' areas,,mV*ms,,1,0.001
T_AreaFull_X,,TFull_Area_X,,Sum of T and T' areas,,mV*ms,,1,0.001
Q_On_Global,,QOnset,,Q onset,,ms,,1,2
Q_Off_Global,,QOffset,,Q offset,,ms,,1,2
ST_Elev_X,,,STc_X,ST elevation/depression from multiple Gaussian fits in lead X,,mV,,1,1
PQ_Int_X,,,PQi_X,PQ interval in lead X,,ms,,1,1
QT_IntCorr_X,,,QTci_X,Q-T interval corrected based on Framingham formula in lead X,,ms,,1,1
PQ_Int_Global,,,PQi_max,max PQ interval across all leads,,ms,,1,1
HA__Global,,,elHA,"electrical heart axis (1: left axis deviation, 2: horizontal axis, 3: normal axis, 4: vertical axis, 5: right axis, 6: extreme right axis deviation)",,integer,,1,1
QRS_Count_Global,,QRSCount,,Number of QRS complexes,46235176,integer,,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
